Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,Signal_Line,SMA_20,SMA_50,SMA_200,BB_middle,BB_upper,BB_lower,Stochastic_K,Stochastic_D,ATR,OBV,ROC,MFI,RVI
2023-12-21 00:00:00-05:00,285.32375919717555,286.14067399972186,282.07586357034484,285.4910888671875,3209300,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,
2023-12-22 00:00:00-05:00,285.72729055034233,288.2075001164899,284.349396346927,285.7764892578125,2833800,0.0,0.0,,0.022766982727887353,0.004553396545577471,,,,,,,,,,2833800.0,,,
2023-12-26 00:00:00-05:00,286.9870530479595,292.40023186612,286.406370197221,290.9632873535156,2019000,0.0,0.0,,0.4541065810154805,0.09446403343955809,,,,,,,,,,4852800.0,,,
2023-12-27 00:00:00-05:00,290.9633171422804,294.4277411276886,290.07753016124406,293.41400146484375,1876500,0.0,0.0,,0.9823742685431966,0.27204608046028583,,,,,,,,,,6729300.0,,,
2023-12-28 00:00:00-05:00,292.4101013653465,294.47695759214474,291.3668365144955,292.1935729980469,2267400,0.0,0.0,,1.2877079435449446,0.4751784530772176,,,,,,,,,,4461900.0,,,
2023-12-29 00:00:00-05:00,292.1640206936286,293.532062950736,288.57164450909784,291.0026550292969,2300600,0.0,0.0,,1.41725274618409,0.6635933116985921,,,,,,,,,,2161300.0,,,
2024-01-02 00:00:00-05:00,288.7980521419429,291.9574022976043,286.7508992075275,288.08941650390625,2433100,0.0,0.0,,1.2702018374378667,0.7849150168464472,,,,,,,,,,-271800.0,,,
2024-01-03 00:00:00-05:00,283.8375660432203,284.36902012003674,278.8475925155937,279.8121032714844,3043400,0.0,0.0,,0.48021728540715003,0.7239754705585878,,,,,,,,,,-3315200.0,,,
2024-01-04 00:00:00-05:00,279.9204155286628,283.67026991504997,279.31020741856037,281.583740234375,2995400,0.0,0.0,,-0.0028618769550803336,0.5786080010558542,,,,,,,,,,-319800.0,,,
2024-01-05 00:00:00-05:00,281.7313617845089,286.40638001499417,280.96367578177853,284.3690490722656,2684800,0.0,0.0,,-0.15912020937918214,0.4310623589688469,,,,,,,,,,2365000.0,,,0.1031075250595701
2024-01-08 00:00:00-05:00,283.02065975913723,288.0598321347549,280.7372753902365,287.6366271972656,2369100,0.0,0.0,,-0.019069990231287193,0.34103588912882016,,,,,,,,,,4734100.0,0.7515254989539253,,0.18515560513991466
